result: freq 2412 rssi -03, noise -95, max_magnitude 0234 max_index 029 bitmap_weight 008 tsf 37158642117 | datamax = 8464, datamin = 9, datasquaresum = 81895
signal: -107.564423, pixels: 378130448, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 48, datasquaresum: 65906, highlight: 0 
signal: -115.614174, pixels: 378130448, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 19, datasquaresum: 65906, highlight: 0 
signal: -111.941284, pixels: 378130448, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 29, datasquaresum: 65906, highlight: 0 
signal: -107.564423, pixels: 378130448, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 48, datasquaresum: 65906, highlight: 0 
signal: -106.381996, pixels: 378130448, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 55, datasquaresum: 65906, highlight: 0 
signal: -111.362015, pixels: 378130448, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 31, datasquaresum: 65906, highlight: 0 
signal: -107.564423, pixels: 378130448, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 48, datasquaresum: 65906, highlight: 0 
signal: -111.086250, pixels: 378130448, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 32, datasquaresum: 65906, highlight: 0 
signal: -112.561974, pixels: 378130448, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 27, datasquaresum: 65906, highlight: 0 
signal: -114.340797, pixels: 378130448, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 22, datasquaresum: 65906, highlight: 0 
signal: -119.605621, pixels: 378130448, freq: 2412.859375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 12, datasquaresum: 65906, highlight: 0 
signal: -111.086250, pixels: 378130448, freq: 2413.203125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 32, datasquaresum: 65906, highlight: 0 
signal: -108.519882, pixels: 378130448, freq: 2413.546875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 43, datasquaresum: 65906, highlight: 0 
signal: -106.225487, pixels: 378130448, freq: 2413.890625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 56, datasquaresum: 65906, highlight: 0 
signal: -113.954689, pixels: 378130448, freq: 2414.234375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 23, datasquaresum: 65906, highlight: 0 
signal: -106.703735, pixels: 378130448, freq: 2414.578125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 53, datasquaresum: 65906, highlight: 0 
signal: -116.580269, pixels: 378130448, freq: 2414.921875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 17, datasquaresum: 65906, highlight: 0 
signal: -111.646820, pixels: 378130448, freq: 2415.265625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 30, datasquaresum: 65906, highlight: 0 
signal: -110.063194, pixels: 378130448, freq: 2415.609375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 36, datasquaresum: 65906, highlight: 0 
signal: -107.934090, pixels: 378130448, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 46, datasquaresum: 65906, highlight: 0 
signal: -123.127449, pixels: 378130448, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 8, datasquaresum: 65906, highlight: 0 
signal: -105.482651, pixels: 378130448, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: 2, data: 61, datasquaresum: 65906, highlight: 0 
signal: -107.564423, pixels: 378130448, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: 2, data: 48, datasquaresum: 65906, highlight: 0 
signal: -115.168648, pixels: 378130448, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: 2, data: 20, datasquaresum: 65906, highlight: 0 
signal: -117.667419, pixels: 378130448, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: 2, data: 15, datasquaresum: 65906, highlight: 0 
