result: freq 2412 rssi 000, noise -95, max_magnitude 0103 max_index 029 bitmap_weight 034 tsf 1781255871 | datamax = 3969, datamin = 25, datasquaresum = 62420
signal: -114.735596, pixels: 1548898320, freq: 2413.890625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 28, datasquaresum: 58597, highlight: 0 
signal: -113.575760, pixels: 1548898320, freq: 2414.234375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 32, datasquaresum: 58597, highlight: 0 
signal: -109.358688, pixels: 1548898320, freq: 2414.578125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 52, datasquaresum: 58597, highlight: 0 
signal: -131.637558, pixels: 1548898320, freq: 2414.921875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 4, datasquaresum: 58597, highlight: 0 
signal: -115.719955, pixels: 1548898320, freq: 2415.265625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 25, datasquaresum: 58597, highlight: 0 
signal: -116.444199, pixels: 1548898320, freq: 2415.609375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 23, datasquaresum: 58597, highlight: 0 
signal: -108.410194, pixels: 1548898320, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 58, datasquaresum: 58597, highlight: 0 
signal: -112.797394, pixels: 1548898320, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 35, datasquaresum: 58597, highlight: 0 
signal: -115.051483, pixels: 1548898320, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 27, datasquaresum: 58597, highlight: 0 
signal: -113.575760, pixels: 1548898320, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 32, datasquaresum: 58597, highlight: 0 
signal: -114.430786, pixels: 1548898320, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 29, datasquaresum: 58597, highlight: 0 
signal: -111.637558, pixels: 1548898320, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 40, datasquaresum: 58597, highlight: 0 
signal: -116.444199, pixels: 1548898320, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 23, datasquaresum: 58597, highlight: 0 
signal: -117.658157, pixels: 1548898320, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 20, datasquaresum: 58597, highlight: 0 
signal: -111.423080, pixels: 1548898320, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 41, datasquaresum: 58597, highlight: 0 
signal: -118.103683, pixels: 1548898320, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 19, datasquaresum: 58597, highlight: 0 
signal: -114.430786, pixels: 1548898320, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 29, datasquaresum: 58597, highlight: 0 
signal: -122.095123, pixels: 1548898320, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 12, datasquaresum: 58597, highlight: 0 
signal: -111.009384, pixels: 1548898320, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 43, datasquaresum: 58597, highlight: 0 
signal: -114.735596, pixels: 1548898320, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 28, datasquaresum: 58597, highlight: 0 
signal: -117.658157, pixels: 1548898320, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 20, datasquaresum: 58597, highlight: 0 
signal: -117.234375, pixels: 1548898320, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 58597, highlight: 0 
signal: -119.596359, pixels: 1548898320, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 16, datasquaresum: 58597, highlight: 0 
signal: -114.473557, pixels: 1548898320, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 23, datasquaresum: 46861, highlight: 0 
signal: -107.222595, pixels: 1548898320, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 53, datasquaresum: 46861, highlight: 0 
signal: -109.243134, pixels: 1548898320, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 42, datasquaresum: 46861, highlight: 0 
signal: -113.408646, pixels: 1548898320, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 26, datasquaresum: 46861, highlight: 0 
signal: -112.460152, pixels: 1548898320, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 29, datasquaresum: 46861, highlight: 0 
