result: freq 2412 rssi -02, noise -95, max_magnitude 0096 max_index 029 bitmap_weight 033 tsf 2416556619 | datamax = 3600, datamin = 49, datasquaresum = 57279
signal: -122.518837, pixels: 122466320, freq: 2415.953125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 11, datasquaresum: 68339, highlight: 0 
signal: -118.737709, pixels: 122466320, freq: 2416.296875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 17, datasquaresum: 68339, highlight: 0 
signal: -115.742462, pixels: 122466320, freq: 2416.640625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 24, datasquaresum: 68339, highlight: 0 
signal: -106.825195, pixels: 122466320, freq: 2416.984375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 67, datasquaresum: 68339, highlight: 0 
signal: -110.282440, pixels: 122466320, freq: 2417.328125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 45, datasquaresum: 68339, highlight: 0 
signal: -131.305481, pixels: 122466320, freq: 2417.671875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 4, datasquaresum: 68339, highlight: 0 
signal: -109.721863, pixels: 122466320, freq: 2418.015625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 48, datasquaresum: 68339, highlight: 0 
signal: -115.742462, pixels: 122466320, freq: 2418.359375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 24, datasquaresum: 68339, highlight: 0 
signal: -110.677322, pixels: 122466320, freq: 2418.703125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 43, datasquaresum: 68339, highlight: 0 
signal: -127.783661, pixels: 122466320, freq: 2419.046875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 6, datasquaresum: 68339, highlight: 0 
signal: -109.542770, pixels: 122466320, freq: 2419.390625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 49, datasquaresum: 68339, highlight: 0 
signal: -110.091530, pixels: 122466320, freq: 2419.734375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 46, datasquaresum: 68339, highlight: 0 
signal: -108.382927, pixels: 122466320, freq: 2420.078125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 56, datasquaresum: 68339, highlight: 0 
signal: -112.976410, pixels: 122466320, freq: 2420.421875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 33, datasquaresum: 68339, highlight: 0 
signal: -108.698814, pixels: 122466320, freq: 2420.765625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 54, datasquaresum: 68339, highlight: 0 
signal: -118.737709, pixels: 122466320, freq: 2421.109375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 17, datasquaresum: 68339, highlight: 0 
signal: -113.804260, pixels: 122466320, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 30, datasquaresum: 68339, highlight: 0 
signal: -117.190948, pixels: 122466320, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 16, datasquaresum: 42397, highlight: 0 
signal: -113.314545, pixels: 122466320, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 25, datasquaresum: 42397, highlight: 0 
signal: -113.314545, pixels: 122466320, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 25, datasquaresum: 42397, highlight: 0 
signal: -119.689728, pixels: 122466320, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 12, datasquaresum: 42397, highlight: 0 
signal: -116.664368, pixels: 122466320, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 17, datasquaresum: 42397, highlight: 0 
signal: -114.038788, pixels: 122466320, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 23, datasquaresum: 42397, highlight: 0 
signal: -127.293945, pixels: 122466320, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 5, datasquaresum: 42397, highlight: 0 
